X,16SPOST60101,16SPOST60102,16SPOST60103,16SPOST60104,16SPOST60105,16SPOST60106,16SPOST60107,16SPOST60108,16SPOST60109,16SPOST60110,16SPOST60111,16SPOST60112,16SPOST60301,16SPOST60302,16SPOST60303,16SPOST60304,16SPOST60305,16SPOST60306,16SPOST60307,16SPOST60308,16SPOST60309,16SPOST60310,16SPOST60311,16SPOST60312,16SPRE60101,16SPRE60102,16SPRE60103,16SPRE60104,16SPRE60105,16SPRE60106,16SPRE60107,16SPRE60108,16SPRE60109,16SPRE60110,16SPRE60111,16SPRE60112,16SPRE60301,16SPRE60302,16SPRE60303,16SPRE60304,16SPRE60305,16SPRE60306,16SPRE60307,16SPRE60308,16SPRE60309,16SPRE60310,16SPRE60311,16SPRE60312,taxon
Otu274,11,20,12,5,44,26,0,11,20,1,4,4,15,14,0,15,6,0,0,0,31,10,0,0,22,1,25,36,23,23,17,19,12,20,26,23,7,16,2,4,16,33,8,28,11,16,12,36,k__Bacteria; p__Nitrospirae; c__Nitrospira; o__Nitrospirales; f__0319-6A21; g__; s__
Otu357,2,2,1,0,3,4,1,1,2,0,2,4,4,5,2,1,0,1,0,0,1,0,0,0,2,0,5,6,13,3,3,13,7,7,5,2,8,6,12,12,2,1,20,6,16,2,5,0,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__
Otu13143,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__Amycolatopsis; s__
Otu322,9,9,6,3,15,14,2,7,5,0,6,10,4,5,0,10,1,1,3,0,5,1,0,0,12,1,10,26,27,5,20,37,20,12,17,4,24,17,39,37,21,3,44,35,30,18,13,4,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__; s__
Otu73,3,7,9,4,12,13,0,12,18,0,10,8,8,32,3,29,7,5,0,4,16,22,0,0,21,35,51,33,38,50,22,34,36,33,36,31,71,78,69,84,61,47,83,61,111,65,106,77,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Rhodoplanes; s__
Otu79,2,3,3,0,1,0,0,3,0,1,0,1,0,3,0,0,0,0,1,0,0,0,0,0,10,22,40,25,13,39,19,40,58,48,38,65,15,10,45,69,41,3,73,9,35,7,40,12,k__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Opitutales; f__Opitutaceae; g__; s__
Otu6405,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,1,4,0,0,0,2,10,0,0,1,1,1,1,2,2,2,3,0,0,1,0,0,3,3,0,2,3,0,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__; g__; s__
Otu1163,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,k__Bacteria; p__Armatimonadetes; c__Chthonomonadetes; o__SJA-22; f__; g__; s__
Otu119,3,2,9,1,5,14,0,9,1,3,0,0,6,14,0,21,0,0,0,0,9,9,0,6,5,21,8,13,5,15,7,8,3,7,11,45,24,36,20,18,37,25,15,26,19,21,64,20,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__
Otu334,0,0,7,0,0,1,0,2,3,0,0,0,2,1,0,2,0,0,0,0,1,0,0,0,3,12,6,4,9,14,7,12,7,16,6,18,21,9,24,42,6,4,34,11,23,5,16,9,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Hyphomonadaceae; g__; s__
Otu1928,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,2,1,0,4,3,0,0,0,0,2,0,0,0,1,0,1,0,k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__; s__
Otu42,6,6,6,6,10,25,0,4,7,0,3,2,21,37,78,15,5,3,0,12,31,12,20,5,30,0,30,22,28,32,28,7,3,16,18,26,28,31,9,1,15,36,9,33,27,18,11,25,k__Bacteria; p__Nitrospirae; c__Nitrospira; o__Nitrospirales; f__0319-6A21; g__; s__
Otu582,0,2,1,1,3,1,0,3,7,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,7,0,4,10,1,2,7,3,4,2,1,4,5,5,2,3,2,2,3,6,2,3,3,0,k__Bacteria; p__Verrucomicrobia; c__[Pedosphaerae]; o__[Pedosphaerales]; f__; g__; s__
Otu15,57,133,68,4,116,130,4,40,118,6,31,21,36,90,2,32,13,22,0,2,44,35,1,2,165,46,164,226,131,157,195,111,99,130,148,112,108,123,70,33,80,126,41,93,81,125,71,175,k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__
Otu342,1,0,5,0,0,0,0,2,1,0,1,3,0,0,0,3,0,2,0,0,0,0,6,0,2,0,1,0,1,2,0,0,1,0,0,1,0,1,9,5,2,0,14,9,18,1,4,0,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__viridiflava
Otu10970,23,20,10,3,20,26,0,10,31,3,4,9,20,34,3,13,10,7,0,0,13,7,0,0,38,6,39,55,45,49,41,48,165,22,34,14,56,39,46,19,8,28,22,22,41,33,17,57,k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__
Otu5,48,81,103,88,61,105,2,179,96,28,140,141,34,81,6,136,30,48,0,20,40,236,1,5,118,285,145,129,110,115,108,137,101,125,166,389,277,241,153,309,456,314,390,309,234,320,363,165,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__Bradyrhizobium; s__
Otu75,2,19,27,2,34,64,1,3,33,2,5,5,36,106,3,65,2,9,1,0,23,5,0,0,18,1,29,18,21,42,13,10,39,9,19,9,36,49,28,21,44,80,19,43,37,58,29,88,k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__; g__; s__
Otu233,0,7,25,0,2,9,0,0,8,2,3,1,6,23,0,6,0,11,0,0,1,14,0,0,6,20,15,2,6,26,5,2,1,3,9,13,8,6,11,4,3,23,7,18,11,33,5,11,k__Bacteria; p__Acidobacteria; c__Sva0725; o__Sva0725; f__; g__; s__
Otu714,0,3,7,4,4,4,0,0,10,3,4,5,5,6,0,0,3,1,0,0,18,9,0,0,2,0,0,1,0,0,3,0,0,0,4,0,3,2,1,0,1,0,4,3,2,2,1,4,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Haliangiaceae; g__; s__
Otu164,4,4,7,0,8,6,0,1,3,0,0,0,13,21,1,12,0,1,0,1,91,1,0,0,4,0,7,1,2,8,1,0,0,3,4,2,13,13,5,0,21,30,2,6,17,7,9,30,k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__; g__; s__
Otu16473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Gemmatimonadetes; c__Gemm-1; o__; f__; g__; s__
Otu16,8,10,42,4,27,35,1,17,15,3,1,4,34,156,1,51,2,14,14,0,76,37,1,1,31,8,33,22,19,84,21,30,84,16,35,20,71,105,68,42,99,117,22,119,82,100,117,102,k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__DA101; s__
Otu599,0,6,1,0,3,3,0,1,4,1,1,3,0,4,0,0,0,0,0,0,0,0,0,0,4,6,6,6,5,5,9,21,15,36,29,5,1,1,3,21,9,4,3,1,8,1,2,1,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__succinicans
Otu1078,0,0,4,2,1,0,1,0,0,1,0,0,8,1,0,1,2,0,0,4,2,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
Otu5564,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Streptomycetaceae; g__Streptomyces; s__
Otu2052,1,0,0,0,2,1,0,0,1,1,0,1,1,1,0,0,2,0,0,0,1,0,0,0,2,0,1,2,1,0,2,0,0,2,0,3,0,5,1,1,2,0,0,1,1,1,1,0,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Polyangiaceae; g__; s__
Otu144,0,0,8,0,1,0,0,0,0,0,0,0,0,31,0,2,0,0,0,7,6,3,0,0,4,0,4,0,1,1,0,0,0,0,1,0,9,13,4,7,4,7,1,4,3,7,3,7,k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__; g__; s__
Otu16772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,1,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Rhodoplanes; s__
Otu1137,0,4,0,0,2,8,1,0,1,0,3,2,1,3,0,4,0,0,0,0,0,0,0,0,7,0,4,6,3,2,4,1,1,3,3,10,1,7,3,4,4,5,1,5,2,4,2,0,k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__; g__; s__
Otu2386,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0,1,1,0,0,0,0,2,0,0,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__
Otu3915,5,5,8,1,12,15,0,9,3,0,3,5,10,5,3,7,0,0,0,0,4,0,0,0,1,1,3,5,19,7,4,12,15,5,6,5,9,4,15,15,10,11,1,5,12,4,3,29,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Ellin6067; f__; g__; s__
Otu1335,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,1,3,2,0,0,0,1,5,0,0,7,1,0,0,1,0,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Devosia; s__
Otu14169,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Geodermatophilaceae; g__; s__
Otu311,0,2,0,23,12,5,23,2,2,0,1,0,34,2,13,8,13,0,17,13,5,3,79,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__; s__
Otu2160,1,4,1,2,0,1,0,1,4,2,0,2,2,1,0,1,0,0,0,0,0,0,0,0,1,0,3,2,1,2,3,2,0,2,0,0,1,1,2,0,0,0,3,0,0,1,0,0,k__Bacteria; p__Chloroflexi; c__Ellin6529; o__; f__; g__; s__
Otu93,11,18,15,0,18,23,0,20,23,2,10,11,4,9,2,7,1,3,1,0,9,19,0,1,36,22,41,45,53,24,34,70,68,62,57,41,31,22,40,74,45,33,32,23,21,26,22,20,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Methylibium; s__
Otu32,43,45,68,35,73,91,1,61,83,8,53,70,55,26,4,37,3,9,0,0,32,7,1,4,55,0,45,57,90,63,39,73,38,41,62,31,33,25,38,35,35,21,35,41,45,17,30,23,k__Bacteria; p__Chloroflexi; c__Ellin6529; o__; f__; g__; s__
Otu819,1,0,3,3,1,1,0,5,0,0,3,2,1,0,5,10,59,4,60,0,1,4,34,0,1,0,0,3,0,3,0,1,0,2,1,1,0,1,0,2,5,1,3,2,6,0,4,1,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__Amycolatopsis; s__
Otu17998,2,0,3,0,2,3,0,1,1,0,0,0,2,8,17,2,0,0,0,0,1,6,7,0,2,0,2,1,3,3,0,2,0,2,3,0,4,7,5,1,2,4,0,2,9,4,0,7,k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__
Otu1986,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,0,1,2,0,0,1,2,4,1,4,1,1,0,1,1,0,0,2,0,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__EB1017; g__; s__
Otu22,15,9,60,10,54,25,1,17,18,1,22,11,75,83,702,52,82,44,11,27,74,575,23,11,46,2,51,19,36,36,15,9,7,68,45,16,72,57,50,26,51,47,15,70,72,32,50,31,k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__
Otu374,0,0,7,0,0,1,0,0,0,0,0,1,2,15,0,15,0,0,0,0,6,5,0,0,1,0,1,0,0,2,0,0,0,0,0,0,8,13,8,2,4,6,1,0,7,11,11,5,k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__; g__; s__
Otu1284,6,5,5,2,3,6,0,6,5,1,3,3,1,3,0,0,1,3,0,0,3,1,0,0,5,0,11,6,9,5,5,8,3,1,3,3,2,0,1,0,0,3,5,2,0,6,4,0,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae; g__Pilimelia; s__
Otu2117,5,5,6,0,1,3,0,18,4,0,11,19,9,11,0,28,0,0,0,0,1,7,0,0,3,0,1,1,2,1,0,2,0,3,0,1,5,10,10,4,1,1,12,5,7,6,12,3,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae; g__; s__
