"","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"Otu211",114,67,0,0,0,3.2,1.8,0.8
"Otu4033",115,67,0,0,0,3.2,1.8,0.8
"Otu114",116,67,0,0,0,3.2,1.8,0.8
"Otu62",117,67,0,0,0,3.3,1.8,0.8
"Otu601",118,67,0,0,0,3.3,1.8,0.8
"Otu1509",119,67,0,0,0,3.3,1.8,0.8
"Otu357",120,67,0,0,0,3.4,1.8,0.8
"Otu466",121,67,0,0,0,3.4,1.8,0.8
"Otu793",122,67,0,0,0,3.4,1.8,0.8
"Otu60",123,67,0,0,0,3.4,1.8,0.8
"Otu2728",124,67,0,0,0,3.5,1.8,0.8
"Otu560",125,67,0,0,0,3.5,1.8,0.8
"Otu56",126,67,0,0,0,3.5,1.8,0.8
"Otu77",127,67,0,0,0,3.5,1.8,0.9
"Otu270",128,67,0,0,0,3.6,1.8,0.9
"Otu10970",129,67,0,0,0,3.6,1.8,0.9
"Otu108",130,67,0,0,0,3.6,1.8,0.9
"Otu9260",131,67,0,0,0,3.7,1.8,0.9
"Otu130",132,67,0,0,0,3.7,1.8,0.9
"Otu367",133,67,0,0,0,3.7,1.8,0.9
"Otu629",134,67,0,0,0,3.7,1.8,0.9
"Otu247",135,67,0,0,0,3.8,1.8,0.9
"Otu472",136,66,0,0,0,3.8,1.8,0.9
"Otu366",137,66,0,0,0,3.8,1.8,0.9
"Otu80",138,66,0,0,0,3.8,1.8,0.9
"Otu183",139,66,0,0,0,3.9,1.8,0.9
"Otu615",140,66,0,0,0,3.9,1.8,0.9
"Otu263",141,66,0,0,0,3.9,1.8,0.9
"Otu175",142,66,0,0,0,4,1.8,1
"Otu402",143,66,0,0,0,4,1.8,1
"Otu64",144,66,0,0,0,4,1.8,1
"Otu242",145,66,0,0,0,4,1.8,1
"Otu168",146,66,0,0,0,4.1,1.8,1
"Otu1869",147,66,0,0,0,4.1,1.8,1
"Otu1773",148,66,0,0,0,4.1,1.8,1
"Otu177",149,66,0,0,0,4.1,1.8,1
"Otu89",150,66,0,0,0,4.2,1.8,1
"Otu70",151,66,0,0,0,4.2,1.8,1
"Otu389",152,66,0,0,0,4.2,1.8,1
"Otu827",153,66,0,0,0,4.2,1.8,1
"Otu253",154,66,0,0,0,4.3,1.8,1
"Otu66",155,66,0,0,0,4.3,1.8,1
"Otu194",156,66,0,0,0,4.3,1.8,1
"Otu187",157,66,0,0,0,4.4,1.8,1.1
"Otu248",158,66,0,0,0,4.4,1.8,1.1
"Otu540",159,66,0,0,0,4.4,1.8,1.1
"Otu109",160,66,0,0,0,4.4,1.8,1.1
"Otu329",161,66,0,0,0,4.5,1.8,1.1
"Otu171",162,66,0,0,0,4.5,1.8,1.1
"Otu145",163,66,0,0,0,4.5,1.8,1.1
"Otu1232",164,66,0,0,0,4.5,1.8,1.1
"Otu53",165,66,0,0,0,4.6,1.8,1.1
"Otu3295",166,66,0,0,0,4.6,1.8,1.1
"Otu1617",167,66,0,0,0,4.6,1.8,1.1
"Otu156",168,66,0,0,0,4.6,1.8,1.1
"Otu761",169,66,0,0,0,4.7,1.8,1.1
"Otu118",170,66,0,0,0,4.7,1.8,1.1
"Otu517",171,66,0,0,0,4.7,1.8,1.1
"Otu5109",172,66,0,0,0,4.8,1.8,1.2
"Otu14684",173,66,0,0,0,4.8,1.8,1.2
"Otu37",174,66,0,0,0,4.8,1.8,1.2
"Otu51",175,66,0,0,0,4.8,1.8,1.2
"Otu561",176,66,0,0,0,4.9,1.8,1.2
"Otu424",177,66,0,0,0,4.9,1.8,1.2
"Otu128",178,66,0,0,0,4.9,1.8,1.2
"Otu223",179,66,0,0,0,4.9,1.8,1.2
"Otu14836",180,66,0,0,0,5,1.8,1.2
"Otu620",181,66,0,0,0,5,1.8,1.2
"Otu4505",182,66,0,0,0,5,1.8,1.2
"Otu3065",183,66,0,0,0,5,1.8,1.2
"Otu12856",184,66,0,0,0,5.1,1.8,1.2
"Otu7880",185,66,0,0,0,5.1,1.8,1.2
"Otu46",186,66,0,0,0,5.1,1.8,1.2
"Otu98",187,65,0,0,0,5.2,1.8,1.3
"Otu1031",188,65,0,0,0,5.2,1.8,1.3
"Otu36",189,65,0,0,0,5.2,1.8,1.3
"Otu376",190,65,0,0,0,5.2,1.8,1.3
"Otu5539",191,65,0,0,0,5.3,1.8,1.3
"Otu289",192,65,0,0,0,5.3,1.8,1.3
"Otu176",193,65,0,0,0,5.3,1.8,1.3
"Otu448",194,65,0,0,0,5.3,1.8,1.3
"Otu1723",195,65,0,0,0,5.4,1.8,1.3
"Otu112",196,65,0,0,0,5.4,1.8,1.3
"Otu636",197,65,0,0,0,5.4,1.8,1.3
"Otu179",198,65,0,0,0,5.4,1.8,1.3
"Otu182",199,65,0,0,0,5.5,1.8,1.3
"Otu202",200,65,0,0,0,5.5,1.8,1.3
