"","otu.H","otu.N1","otu.N2","S.obs","S.chao1","se.chao1","S.ACE","se.ACE","Plot","Fire","Burn","Infection","NMDS1","NMDS2","NMDS3"
"16SPOST05811",6.672193128,790.1265545,274.1764199,2209,3653.437173,121.8199342,3706.408769,36.14564486,"Plot58","Postfire","Unburned","Uninfected",-0.153015318621188,0.0738392434351828,-0.0360751978368175
"16SPOST05812",6.791089989,889.8829957,272.6282454,2406,4182.112219,142.1274253,4166.67209,38.59648081,"Plot58","Postfire","Unburned","Uninfected",-0.101956268815962,0.105210829335055,0.0261934536968314
"16SPOST60101",5.260064531,192.4939127,41.2288591,1256,1979.506787,82.38515859,2056.439138,26.47103105,"Plot601","Postfire","Burned","Infected",0.186344111054475,-0.120548330968695,0.0333089911631494
"16SPOST60102",5.842247078,344.5527083,74.67051362,1561,2396.44863,84.95548526,2550.972842,29.73231434,"Plot601","Postfire","Burned","Infected",0.0626774916922963,-0.14947191560927,0.0826739046111027
"16SPOST60103",6.069688785,432.5460459,113.8222123,1718,2681.182109,93.27233912,2754.283109,29.72534558,"Plot601","Postfire","Burned","Infected",0.0805922007747829,-0.053042511825731,0.0241059732725664
"16SPOST60104",4.35104012,77.55909177,29.5066315,632,869.0521739,41.06259949,889.7444324,16.06366285,"Plot601","Postfire","Burned","Infected",0.325206316996138,-0.143542778482878,0.0200412940830086
"16SPOST60105",6.146481308,467.0710131,129.8748545,1659,2499.069307,84.38373004,2601.625131,29.73798919,"Plot601","Postfire","Burned","Infected",0.0505401170649612,-0.0887725963514605,0.0722139794110882
"16SPOST60106",6.367291395,582.4779878,224.1423524,1795,2958.410169,110.7918023,3016.833791,32.10095763,"Plot601","Postfire","Burned","Infected",0.0072824715753146,-0.0761258107507203,0.067664553446241
"16SPOST60107",2.859572443,17.45406274,5.662493594,296,444.1632653,36.31451977,469.3058722,12.87708426,"Plot601","Postfire","Burned","Infected",0.520958249097953,0.0162588218864803,-0.104238893290476
"16SPOST60108",5.602250743,271.0357533,68.98587992,1374,2123.066148,80.89397219,2292.152754,28.66110408,"Plot601","Postfire","Burned","Infected",0.140471016038093,-0.130210788539392,-0.00498806369542488
"16SPOST60109",6.078387251,436.3249443,83.55004894,1788,2792.024096,94.72436049,2961.585792,32.43483883,"Plot601","Postfire","Burned","Infected",0.0579160856075071,-0.0989366547903016,0.0333278083636705
"16SPOST60110",3.343742219,28.3249267,7.657203174,569,856.8252427,49.47711772,878.8405923,17.33807556,"Plot601","Postfire","Burned","Infected",0.357755155158968,-0.201256372204143,0.0240182301393473
"16SPOST60111",4.918485928,136.7953384,31.88205341,1087,1813.6,87.41709254,1852.383115,25.78521973,"Plot601","Postfire","Burned","Infected",0.210008828487478,-0.145834281354588,-0.0184463432953702
"16SPOST60112",5.201189944,181.488074,44.88099934,1212,2046.490196,94.91684996,2113.16377,27.75071183,"Plot601","Postfire","Burned","Infected",0.178230566594408,-0.151732400659105,-0.00913206375633562
"16SPOST60301",5.359766035,212.6751821,27.92196558,1546,2447.402027,89.94074177,2584.16372,30.19473346,"Plot603","Postfire","Burned","Infected",0.13263103006569,-0.00502267786399381,0.0947912118276218
"16SPOST60302",6.617467238,748.0480677,260.8438015,2158,3382.867788,103.7803595,3581.47388,35.13480178,"Plot603","Postfire","Burned","Infected",-0.0549214506157015,0.0448669180724264,0.106623254240955
"16SPOST60303",3.839147309,46.48581951,11.09239239,540,693.1875,30.72459258,705.6469534,13.30812099,"Plot603","Postfire","Burned","Infected",0.342668558947882,0.131378692930819,-0.150647470257278
"16SPOST60304",5.711997349,302.4746126,69.51399824,1273,1615.074219,43.7850998,1680.350241,20.69062525,"Plot603","Postfire","Burned","Infected",0.119503025005626,-0.012038958206004,-0.0123313377526817
"16SPOST60305",3.558142141,35.09792954,13.9827628,378,485.859375,26.1633233,493.1881232,11.36678475,"Plot603","Postfire","Burned","Infected",0.427835977785252,-0.0661122426272336,-0.00853384339625447
"16SPOST60306",2.925516947,18.64386144,3.706450256,684,1003.951049,48.85365087,1063.103073,18.48206236,"Plot603","Postfire","Burned","Infected",0.30128628889968,-0.0307755315225369,0.195899273761267
"16SPOST60307",0.755417795,2.128500614,1.24339636,146,175.64,12.48382712,176.7455118,6.192815218,"Plot603","Postfire","Burned","Infected",0.404658096854629,0.448847053900532,0.231929573801753
"16SPOST60308",3.403095376,30.0569939,8.491641427,341,391.5384615,15.51154183,394.3857159,9.547642729,"Plot603","Postfire","Burned","Infected",0.44313075213255,0.00647368252348142,-0.0972590931630603
"16SPOST60309",5.234198496,187.578701,31.69078112,1247,2019.094595,86.72579721,2171.588972,27.91746446,"Plot603","Postfire","Burned","Infected",0.172408714180182,0.0266297340213664,0.0922039604736777
"16SPOST60310",5.968380632,390.872192,113.467234,1353,1795.041152,54.13844046,1821.76528,21.83508196,"Plot603","Postfire","Burned","Infected",0.100899288680571,0.106507601312719,-0.106755923419385
"16SPOST60311",3.399848744,29.95956815,13.60536405,222,345.4736842,42.19367449,308.837307,9.164082832,"Plot603","Postfire","Burned","Infected",0.487369723098938,0.0903431373132301,-0.0136925736514884
"16SPOST60312",3.762712332,43.06507448,17.38788185,238,299.6,21.98314422,287.1654113,8.478195769,"Plot603","Postfire","Burned","Infected",0.432623774645579,-0.00693277231220241,-0.236733644014144
"16SPRE05801",6.722545499,830.9299534,309.2681108,2282,3810.323383,125.525434,3990.427385,39.32451909,"Plot58","Prefire","Unburned","Uninfected",-0.109004482273542,0.068192924924547,-0.00977690523234622
