"","otu.H","otu.N1","otu.N2","S.obs","S.chao1","se.chao1","S.ACE","se.ACE","Plot","Fire","Burn","Infection","NMDS1","NMDS2"
"ITS1PRE05801",2.645965978,14.09705595,3.838334472,236,266.75,12.47255395,262.5847922,7.754317466,"Plot58","Prefire","Unburned","Uninfected",-0.248369354164015,-0.289439202910278
"ITS1PRE05802",3.215149329,24.90701096,9.614574143,240,305.2068966,22.03560182,299.4745622,8.829184958,"Plot58","Prefire","Unburned","Uninfected",-0.173234577972792,-0.240035573966183
"ITS1PRE05803",3.374096134,29.19788089,9.676993549,331,397.7254902,19.22225631,399.7434592,9.760265205,"Plot58","Prefire","Unburned","Uninfected",-0.0956099411941699,-0.14090923421959
"ITS1PRE05804",3.861584684,47.54062859,20.07471718,240,279.4166667,15.68372262,269.7163321,8.025361628,"Plot58","Prefire","Unburned","Uninfected",-0.190275448160415,-0.188946065573014
"ITS1PRE05805",3.145899927,23.2405809,9.287929137,249,306.2195122,18.10286361,316.8709887,9.100474942,"Plot58","Prefire","Unburned","Uninfected",-0.217206263528315,-0.226247925664443
"ITS1PRE05806",2.278099341,9.758115919,3.012716481,200,225.5,11.51227696,220.571984,7.151424931,"Plot58","Prefire","Unburned","Uninfected",-0.107198640483828,-0.236929952421048
"ITS1PRE05807",4.311634422,74.56225559,35.61686045,285,316.0588235,14.3195733,299.3329455,8.410872799,"Plot58","Prefire","Unburned","Uninfected",-0.0831434382019701,-0.0961433232666579
"ITS1PRE05808",3.590559009,36.25433676,17.96125456,245,274.1176471,11.41919722,276.2032359,8.057338951,"Plot58","Prefire","Unburned","Uninfected",-0.264888914304927,-0.0997292481161949
"ITS1PRE05809",2.607041106,13.55887218,4.589802395,248,294.1219512,15.36971793,305.2709034,8.847120675,"Plot58","Prefire","Unburned","Uninfected",-0.309378237657152,-0.0962741491084677
"ITS1PRE05810",4.248810038,70.02203916,25.71087338,420,543.2678571,30.1535579,542.023134,11.98791734,"Plot58","Prefire","Unburned","Uninfected",-0.132265041273247,-0.0432299461887905
"ITS1PRE05811",3.364479068,28.91842884,10.23994855,214,226.037037,6.355481475,226.7499437,7.227988272,"Plot58","Prefire","Unburned","Uninfected",-0.139926506781819,-0.271328085291985
"ITS1PRE05812",4.555922599,95.19454111,50.26599989,331,356.3235294,10.30523582,354.2084588,9.214718013,"Plot58","Prefire","Unburned","Uninfected",-0.170681230967336,-0.128385655042306
"ITS1PRE60101",3.904527239,49.62661286,21.82600878,191,321.6666667,56.91228061,279.3908046,8.079824594,"Plot601","Prefire","Burned","Infected",-0.224631173611785,0.114233705052553
"ITS1PRE60102",2.958252265,19.26427347,6.780810857,220,238.7,8.506348655,241.51549,7.579791215,"Plot601","Prefire","Burned","Infected",-0.446222483061793,-0.0633856142541471
"ITS1PRE60103",4.126950453,61.98859724,26.72631879,241,353.8,48.37785289,290.6448601,8.338286098,"Plot601","Prefire","Burned","Infected",-0.238801779399351,0.0852060875249084
"ITS1PRE60104",2.969262862,19.47755666,5.120964418,192,217.5882353,12.3348682,211.196844,7.150885793,"Plot601","Prefire","Burned","Infected",-0.200487477798709,0.185638655214201
"ITS1PRE60105",3.836121209,46.34536139,15.55708121,214,300.6666667,39.98163885,259.7107817,7.841372848,"Plot601","Prefire","Burned","Infected",-0.151798926740676,0.140471426209695
"ITS1PRE60106",4.001358716,54.67238381,27.82500703,221,276.5,25.15896616,249.7093807,7.722159135,"Plot601","Prefire","Burned","Infected",-0.161824290368673,0.0869846272828683
"ITS1PRE60107",2.842081008,17.15142067,6.466659345,210,240.875,13.01083445,238.5088148,7.634949169,"Plot601","Prefire","Burned","Infected",-0.242635522454402,0.200921538678187
"ITS1PRE60108",3.69675515,40.31627164,15.79628431,204,231.6,15.12053869,219.2461911,7.117599596,"Plot601","Prefire","Burned","Infected",-0.235696182761761,0.0975001486782043
"ITS1PRE60109",4.30871347,74.34478057,35.4957679,265,303.75,18.80551936,280.6467524,8.212886235,"Plot601","Prefire","Burned","Infected",-0.205665368523935,0.218294479076505
"ITS1PRE60110",2.46823669,11.80161859,3.499305509,208,232.7,10.42017085,234.0285541,7.161803746,"Plot601","Prefire","Burned","Infected",-0.296835513793973,0.143557427803476
"ITS1PRE60111",4.273119174,71.74507236,29.60516652,332,375.8717949,14.98996671,373.8955751,9.540660687,"Plot601","Prefire","Burned","Infected",-0.195005758345123,0.0572554725272486
"ITS1PRE60112",3.661068985,38.90290728,15.84004573,251,277,10.82211527,274.3472468,7.930103615,"Plot601","Prefire","Burned","Infected",-0.266617748967588,0.0563790098585665
"ITS1PRE60301",4.418025239,82.93235195,30.18270871,452,533.4925373,20.84600111,540.4616449,11.55212607,"Plot603","Prefire","Burned","Infected",-0.153938950744658,0.0614909983472323
"ITS1PRE60302",1.730288446,5.642281169,1.901010098,251,361.7575758,32.38007254,342.6083049,9.410240835,"Plot603","Prefire","Burned","Infected",-0.141802049654813,0.282409456288539
"ITS1PRE60304",4.572885162,96.8230574,28.71666837,514,587.5857143,19.0862609,585.6444269,11.70425256,"Plot603","Prefire","Burned","Infected",-0.216001026570383,0.0305564517612853
"ITS1PRE60305",4.239328466,69.36125778,23.35375856,365,439.3913043,26.19508898,399.2990223,9.734895209,"Plot603","Prefire","Burned","Infected",-0.195107784506993,0.118850118957998
"ITS1PRE60306",4.103645122,60.56063669,25.60992283,219,241.6666667,14.91561399,226.7383417,6.890126276,"Plot603","Prefire","Burned","Infected",-0.166112419308621,0.10921232881756
"ITS1PRE60307",2.797264752,16.39972805,4.718824683,347,416.3,18.24678142,438.0288847,10.38983844,"Plot603","Prefire","Burned","Infected",-0.220501659321219,0.268890465287895
"ITS1PRE60308",4.082078964,59.26855905,25.45416118,328,379.3947368,17.01437677,369.2230287,9.166824549,"Plot603","Prefire","Burned","Infected",-0.178284594614784,0.16457293690739
"ITS1PRE60309",1.439149312,4.217106848,2.086548745,205,272.2631579,20.93008964,284.9872008,8.961594806,"Plot603","Prefire","Burned","Infected",-0.106825660751712,0.390299368428007
"ITS1PRE60310",3.932627168,51.04089468,16.8587795,297,344.1428571,18.70744672,322.3868468,8.699258197,"Plot603","Prefire","Burned","Infected",-0.223679608726098,0.145199495297306
"ITS1PRE60311",3.236348184,25.44064734,10.72876338,349,417.3239437,17.99116897,442.4916286,10.78956976,"Plot603","Prefire","Burned","Infected",-0.34064846538831,0.102618552335168
"ITS1PRE60312",3.504274034,33.25729142,12.23417162,201,257.1,26.84596913,229.2235179,7.432723596,"Plot603","Prefire","Burned","Infected",-0.120761330537834,0.21828570648487
