,id,taxon,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu2281,Otu2281,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bdellovibrionaceae; g__Bdellovibrio; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Bdellovibrionales,f__Bdellovibrionaceae,g__Bdellovibrio,s__
Otu1248,Otu1248,k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__; g__; s__,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__,g__,s__
Otu2307,Otu2307,k__Bacteria; p__Chlorobi; c__SJA-28; o__; f__; g__; s__,k__Bacteria,p__Chlorobi,c__SJA-28,o__,f__,g__,s__
Otu3922,Otu3922,k__Bacteria; p__OP3; c__koll11; o__; f__; g__; s__,k__Bacteria,p__OP3,c__koll11,o__,f__,g__,s__
Otu1566,Otu1566,k__Bacteria; p__Chloroflexi; c__C0119; o__; f__; g__; s__,k__Bacteria,p__Chloroflexi,c__C0119,o__,f__,g__,s__
Otu1975,Otu1975,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Syntrophobacterales,f__Syntrophobacteraceae,g__,s__
Otu3994,Otu3994,k__Bacteria; p__Elusimicrobia; c__Endomicrobia; o__; f__; g__; s__,k__Bacteria,p__Elusimicrobia,c__Endomicrobia,o__,f__,g__,s__
Otu4961,Otu4961,k__Bacteria; p__Firmicutes; c__Bacilli; o__Gemellales; f__Gemellaceae; g__Gemella; s__,k__Bacteria,p__Firmicutes,c__Bacilli,o__Gemellales,f__Gemellaceae,g__Gemella,s__
Otu1979,Otu1979,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium; s__,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingobium,s__
Otu5568,Otu5568,k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__; f__; g__; s__,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__,f__,g__,s__
Otu8380,Otu8380,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Coxiellaceae; g__; s__,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Coxiellaceae,g__,s__
Otu1155,Otu1155,k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__; s__,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Cytophagaceae,g__,s__
Otu464,Otu464,k__Bacteria; p__WS3; c__PRR-12; o__Sediment-1; f__PRR-10; g__; s__,k__Bacteria,p__WS3,c__PRR-12,o__Sediment-1,f__PRR-10,g__,s__
Otu5013,Otu5013,k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__; s__,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Gemmatales,f__Gemmataceae,g__,s__
Otu13386,Otu13386,k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__,k__Bacteria,p__Bacteroidetes,c__[Saprospirae],o__[Saprospirales],f__Chitinophagaceae,g__,s__
Otu510,Otu510,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,f__,g__,s__
Otu1834,Otu1834,k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__; s__,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Gemmatales,f__Gemmataceae,g__,s__
Otu9545,Otu9545,k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__[Amoebophilaceae]; g__Candidatus Amoebophilus; s__,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__[Amoebophilaceae],g__CandidatusAmoebophilus,s__
Otu3389,Otu3389,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Haliangiaceae; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Haliangiaceae,g__,s__
Otu314,Otu314,k__Bacteria; p__Verrucomicrobia; c__[Pedosphaerae]; o__[Pedosphaerales]; f__Ellin517; g__; s__,k__Bacteria,p__Verrucomicrobia,c__[Pedosphaerae],o__[Pedosphaerales],f__Ellin517,g__,s__
Otu9192,Otu9192,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__,g__,s__
Otu1031,Otu1031,k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__,k__Bacteria,p__Acidobacteria,c__Acidobacteria-6,o__iii1-15,f__,g__,s__
Otu884,Otu884,k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__; s__,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Cytophagaceae,g__,s__
Otu204,Otu204,k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,NA,NA,NA,NA
Otu9357,Otu9357,k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__; s__,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__,s__
Otu17212,Otu17212,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,NA,NA,NA
Otu12442,Otu12442,k__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Opitutales; f__Opitutaceae; g__; s__,k__Bacteria,p__Verrucomicrobia,c__Opitutae,o__Opitutales,f__Opitutaceae,g__,s__
Otu5540,Otu5540,k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__; s__,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Gemmatales,f__Gemmataceae,g__,s__
Otu102,Otu102,k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__; s__,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Cytophagaceae,g__,s__
Otu11,Otu11,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__Amycolatopsis; s__,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Pseudonocardiaceae,g__Amycolatopsis,s__
Otu6831,Otu6831,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Coxiellaceae; g__Aquicella; s__,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Coxiellaceae,g__Aquicella,s__
Otu68,Otu68,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Thermomonosporaceae; g__Actinoallomurus; s__iriomotensis,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Thermomonosporaceae,g__Actinoallomurus,s__iriomotensis
Otu10880,Otu10880,k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__WD2101; f__; g__; s__,k__Bacteria,p__Planctomycetes,c__Phycisphaerae,o__WD2101,f__,g__,s__
Otu956,Otu956,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__,s__
Otu4586,Otu4586,k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__Gemmata; s__,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Gemmatales,f__Gemmataceae,g__Gemmata,s__
Otu742,Otu742,k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Phycisphaerales; f__; g__; s__,k__Bacteria,p__Planctomycetes,c__Phycisphaerae,o__Phycisphaerales,f__,g__,s__
