"","Sample","Plot","Fire","Burn","Infection","Otu10","Otu100","Otu1000","Otu10000","Otu10001","Otu10002","Otu10004","Otu10005","Otu10007","Otu10008","Otu10009","Otu1001","Otu10011","Otu10013","Otu10014","Otu10015","Otu10016","Otu10017","Otu10019","Otu1002","Otu10020","Otu10021","Otu10023","Otu10026","Otu10028","Otu10029","Otu1003","Otu10030","Otu10031","Otu10032","Otu10034","Otu10035","Otu10036","Otu10037","Otu1004","Otu10040","Otu10041","Otu10044","Otu10045","Otu10046","Otu10047","Otu10048","Otu1005","NMDS1","NMDS2","NMDS3"
"18","16SPOST60306","Plot603","Postfire","Burned","Infected",4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-0.873861921580126,-0.357950904494408,0.661033343633787
"19","16SPOST60307","Plot603","Postfire","Burned","Infected",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.64616241882955,-1.67005624170362,-0.16406103586107
"20","16SPOST60308","Plot603","Postfire","Burned","Infected",0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.41246710161489,0.288570286508641,-0.271334220670307
"21","16SPOST60309","Plot603","Postfire","Burned","Infected",4,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.507779556713917,-0.334987620024873,0.0426195237322468
"22","16SPOST60310","Plot603","Postfire","Burned","Infected",1,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.187044629646081,-0.0510314722217385,-0.697313020338382
"23","16SPOST60311","Plot603","Postfire","Burned","Infected",0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1.66002002577783,-0.118039037209823,-0.162932627225801
"24","16SPOST60312","Plot603","Postfire","Burned","Infected",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,-1.36706530736409,0.638672398493699,-0.626980764052662
"25","16SPRE60101","Plot601","Prefire","Burned","Infected",92,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.604492570861353,-0.118969163238126,0.273329064096074
"26","16SPRE60102","Plot601","Prefire","Burned","Infected",41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.95463213791883,1.18117957124529,-0.501997434469085
"27","16SPRE60103","Plot601","Prefire","Burned","Infected",104,15,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.651496188015358,-0.109055043908241,0.139873161124894
