,rank,abundance,proportion,plower,pupper,accumfreq,logabun,rankfreq,id,Consensus Lineage,id,taxon,Kingdom,Phylum,Class,Order,Family,Genus,Species,"rep(season, nrow(df))"
Otu472,1,12,0,0,0,0,1.1,0,Otu472,k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__,Otu472,k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,Solirubrobacterales,f__,g__,s__,601prefire
Otu10158,2,12,0,0,0,0,1.1,0,Otu10158,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__; g__; s__,Otu10158,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__; g__; s__,k__Bacteria,p__Actinobacteria,c__Actinobacteria,Actinomycetales,f__,g__,s__,601prefire
Otu698,3,12,0,0,0,0.1,1.1,0,Otu698,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__,Otu698,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,Rhodospirillales,f__Rhodospirillaceae,g__,s__,601prefire
Otu359,4,12,0,0,0,0.1,1.1,0,Otu359,k__Bacteria; p__Acidobacteria; c__DA052; o__Ellin6513; f__; g__; s__,Otu359,k__Bacteria; p__Acidobacteria; c__DA052; o__Ellin6513; f__; g__; s__,k__Bacteria,p__Acidobacteria,c__DA052,Ellin6513,f__,g__,s__,601prefire
Otu366,5,12,0,0,0,0.1,1.1,0,Otu366,k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__DA101; s__,Otu366,k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__DA101; s__,k__Bacteria,p__Verrucomicrobia,c__[Spartobacteria],Chthoniobacterales,f__[Chthoniobacteraceae],g__DA101,s__,601prefire
Otu129,6,12,0,0,0,0.1,1.1,0,Otu129,k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__; s__,Otu129,k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__; s__,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,Gaiellales,f__Gaiellaceae,g__,s__,601prefire
Otu765,7,12,0,0,0,0.2,1.1,0,Otu765,k__Bacteria; p__Verrucomicrobia; c__[Pedosphaerae]; o__[Pedosphaerales]; f__; g__; s__,Otu765,k__Bacteria; p__Verrucomicrobia; c__[Pedosphaerae]; o__[Pedosphaerales]; f__; g__; s__,k__Bacteria,p__Verrucomicrobia,c__[Pedosphaerae],Pedosphaerales,f__,g__,s__,601prefire
Otu280,8,12,0,0,0,0.2,1.1,0.1,Otu280,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__Nocardioides; s__,Otu280,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__Nocardioides; s__,k__Bacteria,p__Actinobacteria,c__Actinobacteria,Actinomycetales,f__Nocardioidaceae,g__Nocardioides,s__,601prefire
Otu80,9,12,0,0,0,0.2,1.1,0.1,Otu80,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__,Otu80,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,Pseudomonadales,f__Pseudomonadaceae,g__Pseudomog__s,s__,601prefire
Otu17332,10,12,0,0,0,0.2,1.1,0.1,Otu17332,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__,Otu17332,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,Myxococcales,f__,g__,s__,601prefire
Otu798,11,12,0,0,0,0.3,1.1,0.1,Otu798,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__MIZ46; f__; g__; s__,Otu798,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__MIZ46; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,MIZ46,f__,g__,s__,601prefire
Otu729,12,12,0,0,0,0.3,1.1,0.1,Otu729,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__,Otu729,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,Myxococcales,f__,g__,s__,601prefire
Otu631,13,12,0,0,0,0.3,1.1,0.1,Otu631,k__Bacteria; p__Planctomycetes; c__OM190; o__agg27; f__; g__; s__,Otu631,k__Bacteria; p__Planctomycetes; c__OM190; o__agg27; f__; g__; s__,k__Bacteria,p__Planctomycetes,c__OM190,agg27,f__,g__,s__,601prefire
Otu199,14,12,0,0,0,0.3,1.1,0.1,Otu199,k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__Ellin6075; g__; s__,Otu199,k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__Ellin6075; g__; s__,k__Bacteria,p__Acidobacteria,c__[Chloracidobacteria],RB41,f__Ellin6075,g__,s__,601prefire
Otu341,15,12,0,0,0,0.4,1.1,0.1,Otu341,k__Bacteria; p__Verrucomicrobia; c__[Pedosphaerae]; o__[Pedosphaerales]; f__Ellin515; g__; s__,Otu341,k__Bacteria; p__Verrucomicrobia; c__[Pedosphaerae]; o__[Pedosphaerales]; f__Ellin515; g__; s__,k__Bacteria,p__Verrucomicrobia,c__[Pedosphaerae],Pedosphaerales,f__Ellin515,g__,s__,601prefire
Otu908,16,12,0,0,0,0.4,1.1,0.1,Otu908,k__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Opitutales; f__Opitutaceae; g__Opitutus; s__,Otu908,k__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Opitutales; f__Opitutaceae; g__Opitutus; s__,k__Bacteria,p__Verrucomicrobia,c__Opitutae,Opitutales,f__Opitutaceae,g__Opitutus,s__,601prefire
Otu12062,17,12,0,0,0,0.4,1.1,0.1,Otu12062,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Rhodoplanes; s__,Otu12062,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Rhodoplanes; s__,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,Rhizobiales,f__Hyphomicrobiaceae,g__Rhodoplanes,s__,601prefire
