,otu.H,otu.N1,otu.N2,S.obs,S.chao1,se.chao1,S.ACE,se.ACE,Plot,Fire,Burn,Infection,NMDS1,NMDS2
16SPRE60104,6.651852823,774.2174851,283.3822158,2156,3316.653012,99.45709832,3525.826763,35.16467177,Plot601,Prefire,Burned,Infected,-0.116240706,-0.08999846
16SPRE60105,6.735743227,841.9690257,336.3092677,2198,3472.015152,108.7613297,3596.68457,35.26757779,Plot601,Prefire,Burned,Infected,-0.102537673,-0.074836255
16SPRE60106,6.870298048,963.2356132,394.9489349,2395,3994.233173,128.8606489,4112.847916,37.99457918,Plot601,Prefire,Burned,Infected,-0.110927973,-0.041764599
16SPRE60107,6.555275877,702.9430486,266.4624274,2035,3372.561404,118.486751,3450.952818,34.79817532,Plot601,Prefire,Burned,Infected,-0.121062272,-0.121286167
16SPRE60108,6.589679028,727.5473103,290.6284434,1947,2973.383929,96.06920692,2984.717816,30.18361278,Plot601,Prefire,Burned,Infected,-0.13819335,-0.13075231
16SPRE60109,6.494474388,661.4764536,250.2758083,1919,2989.363636,99.93598833,3020.288279,31.60445809,Plot601,Prefire,Burned,Infected,-0.164526985,-0.165119106
16SPRE60110,6.704996646,816.4752882,349.1172206,2070,3307.789017,110.8082752,3346.346471,33.04953788,Plot601,Prefire,Burned,Infected,-0.121017635,-0.112891276
16SPRE60111,6.732851465,839.537769,312.4454952,2265,3851.163588,131.8677792,3952.269649,38.2698024,Plot601,Prefire,Burned,Infected,-0.104280333,-0.075005907
16SPRE60112,6.7025978,814.5190369,255.895163,2237,3652.631188,117.7387511,3844.665136,36.90940554,Plot601,Prefire,Burned,Infected,-0.139176886,-0.080630056
16SPRE60301,6.769039227,870.4751629,302.6952957,2381,4247.839378,149.9637762,4267.500911,39.24155187,Plot603,Prefire,Burned,Infected,-0.110702243,-0.009991271
16SPRE60302,6.72342276,831.6592155,297.4048814,2312,3871.640288,126.1504522,4095.744968,38.39412971,Plot603,Prefire,Burned,Infected,-0.10595794,-0.002823016
16SPRE60303,6.714165105,823.9955301,288.4181277,2282,3904.431877,133.2206245,4020.284747,37.80408557,Plot603,Prefire,Burned,Infected,-0.11733813,-0.027935923
16SPRE60304,6.698132942,810.8904313,261.7191056,2256,3856.662269,132.8584432,3946.866711,37.76545894,Plot603,Prefire,Burned,Infected,-0.173027488,-0.036433598
16SPRE60305,6.735457639,841.7286035,228.6875541,2336,3856,123.9034594,3996.382594,37.56978885,Plot603,Prefire,Burned,Infected,-0.134813316,-0.020483408
16SPRE60306,6.344335518,569.2590015,176.4967394,1805,2544.125,72.45678646,2656.606901,28.37504256,Plot603,Prefire,Burned,Infected,-0.099810882,0.021402753
16SPRE60307,6.485930131,655.8487059,198.999563,2077,3679.958702,137.926801,3800.143032,38.04299403,Plot603,Prefire,Burned,Infected,-0.157407135,-0.084613754
16SPRE60308,6.702342243,814.3109072,279.0195126,2283,4127.876712,151.2634086,4222.852154,40.02109363,Plot603,Prefire,Burned,Infected,-0.117591598,-0.020461099
16SPRE60309,6.723638628,831.8387637,298.5200722,2289,3910.825974,133.6237297,3976.117311,38.08280632,Plot603,Prefire,Burned,Infected,-0.120641338,-0.022559148
16SPRE60310,6.760225122,862.8364177,294.584371,2295,3824.652062,127.0395387,3896.902704,37.18239006,Plot603,Prefire,Burned,Infected,-0.127311171,-0.005476663
16SPRE60311,6.73519551,841.5079908,249.1918232,2400,4017.721088,127.6941281,4239.748189,40.15194646,Plot603,Prefire,Burned,Infected,-0.135173211,-0.010838705
16SPRE60312,6.443232965,628.4352284,266.929658,1550,1824.094276,35.66344807,1839.055023,19.33602149,Plot603,Prefire,Burned,Infected,-0.141619269,-0.007886769
