"","ITS1NODNA","ITS1PCRNC","ITS1POST05801","ITS1POST05802","ITS1POST05803","ITS1POST05804","ITS1POST05805","ITS1POST05806","ITS1POST05807","ITS1POST05808","ITS1POST05809","ITS1POST05810","ITS1POST05811","ITS1POST05812","ITS1POST60101","ITS1POST60102","ITS1POST60103","ITS1POST60104","ITS1POST60105","ITS1POST60106","ITS1POST60107","ITS1POST60108","ITS1POST60109","ITS1POST60110","ITS1POST60111","ITS1POST60112","ITS1POST60301","ITS1POST60302","ITS1POST60303","ITS1POST60304","ITS1POST60305","ITS1POST60306","ITS1POST60307","ITS1POST60308","ITS1POST60309","ITS1POST60310","ITS1POST60311","ITS1POST60312","ITS1PRE05801","ITS1PRE05802","ITS1PRE05803","ITS1PRE05804","ITS1PRE05805","ITS1PRE05806","ITS1PRE05807","ITS1PRE05808","ITS1PRE05809","ITS1PRE05810","ITS1PRE05811","ITS1PRE05812","ITS1PRE60101","ITS1PRE60102","ITS1PRE60103","ITS1PRE60104","ITS1PRE60105","ITS1PRE60106","ITS1PRE60107","ITS1PRE60108","ITS1PRE60109","ITS1PRE60110","ITS1PRE60111","ITS1PRE60112","ITS1PRE60301","ITS1PRE60302","ITS1PRE60304","ITS1PRE60305","ITS1PRE60306","ITS1PRE60307","ITS1PRE60308","ITS1PRE60309","ITS1PRE60310","ITS1PRE60311","ITS1PRE60312","Consensus.Lineage","id","taxon","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Otu20",2356,667,173,109,107,152,181,277,370,202,1605,879,1238,2700,513,670,260,326,1178,545,1229,613,1074,141,586,929,1982,1525,1675,1791,5547,4239,869,853,113,117,59,11,1,2,1,1,1,2,3,41,290,106,655,501,0,0,1,15,1,120,5,37,0,0,1,4,0,0,10,3,135,6,1,0,1,2,45,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__Fusarium_acutatum","Otu20","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__Fusarium_acutatum","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium","s__Fusarium_acutatum"
"Otu15",25,0,1036,799,1021,483,6,369,1398,4720,2787,528,782,19890,9,11,5,5,11,2,4,0,9,13,7,11,7,4,0,6,5,9,7,7,11,2,1,1,117,574,713,307,10,201,2089,2276,168,968,258,3588,5,3,7,0,4,3,7,2,2,5,7,3,55,114,267,40,0,14,21,4,193,6,67,"k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Didymellaceae; g__Paraboeremia; s__Paraboeremia_selaginellae","Otu15","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Didymellaceae; g__Paraboeremia; s__Paraboeremia_selaginellae","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Paraboeremia","s__Paraboeremia_selaginellae"
"Otu44",11,0,1183,1112,423,249,828,1086,1811,444,2060,209,469,1515,5,6,2,2,7,7,1,0,40,5,2,7,2,35,1,3,2,0,2,6,2,4,1,3,890,318,328,2746,464,1383,2888,8529,961,430,520,3295,1,381,257,0,658,189,325,647,51,9,183,2049,89,22,438,22,360,63,17,3,60,51,2,"k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified; s__unidentified","Otu44","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified; s__unidentified","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__unidentified","g__unidentified","s__unidentified"
"Otu18",13,0,1354,440,717,131,853,1488,4604,1057,1237,249,977,842,14,4,104,8,9,12,1,1,14,8,6,6,2,0,0,2,4,3,13,45,3,10,0,3,764,381,104,1973,1141,493,2637,8158,1483,1270,318,519,115,902,359,121,393,40,72,201,27,1225,488,2162,70,44,377,95,86,246,24,13,92,259,2,"k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Aspergillus; s__unidentified","Otu18","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Aspergillus; s__unidentified","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__unidentified"
"Otu436",26,71,10,1,0,0,6,0,0,15,0,0,0,0,16,214,0,12,0,0,0,0,28,1,0,0,0,1,0,1,49,0,0,0,9,24,0,0,0,0,0,0,38,17,0,0,10,0,0,34,83,0,0,0,195,0,35,1,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,"k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified","Otu436","k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified","k__Fungi","p__unidentified","c__unidentified","o__unidentified","f__unidentified","g__unidentified","s__unidentified"
"Otu405",12,0,1,6,46,0,6,825,4,7,0,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39,0,16,0,24,0,0,0,19,0,4,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__unidentified; f__unidentified; g__unidentified; s__unidentified","Otu405","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__unidentified; f__unidentified; g__unidentified; s__unidentified","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__unidentified","f__unidentified","g__unidentified","s__unidentified"
"Otu3446",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreaceae; g__Monocillium; s__Monocillium_indicum","Otu3446","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreaceae; g__Monocillium; s__Monocillium_indicum","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","g__Monocillium","s__Monocillium_indicum"
"Otu25",4,0,800,81,57,52,33,197,1560,71,160,197,892,865,3,5,1,2,4,7,1,2,4,8,2,8,2,2,0,2,3,2,4,1,3,1,3,2,383,5885,57,621,56,60,332,5027,684,900,3313,2948,1,2,1,0,9,1,14,398,50,3,460,2767,1,57,306,185,1,2,3,3,634,3,0,"k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiaceae; g__Helicodendron; s__Helicodendron_luteoalbum","Otu25","k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiaceae; g__Helicodendron; s__Helicodendron_luteoalbum","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Helicodendron","s__Helicodendron_luteoalbum"
"Otu48",7,0,313,152,18,31,60,148,472,570,95,38,1013,129,2,2,7,0,1,4,0,0,1,0,0,2,1,0,0,0,1,0,2,1,0,0,0,0,167,412,3278,87,302,41,171,4025,136,152,165,53,0,160,74,0,1,11,205,227,17,98,406,1246,195,28,480,180,249,184,47,52,60,307,0,"k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiales_fam_Incertae_sedis; g__Xenopolyscytalum; s__Xenopolyscytalum_pinea","Otu48","k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiales_fam_Incertae_sedis; g__Xenopolyscytalum; s__Xenopolyscytalum_pinea","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Xenopolyscytalum","s__Xenopolyscytalum_pinea"
"Otu503",21,28,8,0,0,0,1,1,0,0,1064,433,9,1,11,53,48,0,0,0,0,0,16,0,0,2,0,0,18,18,69,0,0,0,0,0,0,0,4,0,0,1,2,0,0,2,1,0,0,2,0,0,1,28,0,0,0,0,1,0,0,0,0,0,0,1,37,0,0,4,0,1,0,"k__Fungi; p__Basidiobolomycota; c__Basidiobolomycetes; o__Basidiobolales; f__Basidiobolaceae; g__Basidiobolus; s__Basidiobolus_ranarum","Otu503","k__Fungi; p__Basidiobolomycota; c__Basidiobolomycetes; o__Basidiobolales; f__Basidiobolaceae; g__Basidiobolus; s__Basidiobolus_ranarum","k__Fungi","p__Basidiobolomycota","c__Basidiobolomycetes","o__Basidiobolales","f__Basidiobolaceae","g__Basidiobolus","s__Basidiobolus_ranarum"
"Otu10",22,0,5332,362,7599,480,4632,2,4766,52308,3965,88,478,5448,4,0,2,3,5,7,3,0,4,12,5,13,2,0,0,4,4,0,3,5,2,2,4,7,9,1,35,16,4,3,240,174,102,545,2,1433,84,2154,2,1,0,2,1,108,97,273,3,8,3,3,30,126,0,153,42,669,36,383,51,"k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_hyalina","Otu10","k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_hyalina","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__Mortierella_hyalina"
"Otu448",1,13,0,1,3,0,5,0,5,0,0,0,37,104,14,0,19,31,224,1,0,0,15,11,0,0,14,0,0,0,61,0,2,26,0,28,0,6,0,0,0,0,16,0,0,0,0,8,28,0,0,0,0,0,13,0,0,0,0,0,0,0,8,0,81,1,0,0,0,2,0,0,0,"k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Mycosphaerellaceae; g__Mycosphaerella; s__Mycosphaerella_tassiana","Otu448","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Mycosphaerellaceae; g__Mycosphaerella; s__Mycosphaerella_tassiana","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae","g__Mycosphaerella","s__Mycosphaerella_tassiana"
"Otu536",5,0,3,0,0,0,56,0,10,0,0,0,0,0,0,0,4,0,38,0,0,0,99,0,0,0,0,0,0,0,350,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,476,0,0,0,0,0,0,0,34,0,163,1,0,0,0,17,0,0,0,"k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Didymellaceae; g__Epicoccum; s__Epicoccum_nigrum","Otu536","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Didymellaceae; g__Epicoccum; s__Epicoccum_nigrum","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Epicoccum","s__Epicoccum_nigrum"
"Otu415",2,0,0,0,1,0,0,0,0,0,0,0,770,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,900,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Entolomataceae; g__Entoloma; s__Entoloma_chalybeum","Otu415","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Entolomataceae; g__Entoloma; s__Entoloma_chalybeum","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Entolomataceae","g__Entoloma","s__Entoloma_chalybeum"
"Otu489",3,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,3,1,0,0,0,22,5,0,0,30,12,5,0,0,24,0,4,22,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,652,0,0,0,0,0,0,0,97,"k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified","Otu489","k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified","k__Fungi","p__unidentified","c__unidentified","o__unidentified","f__unidentified","g__unidentified","s__unidentified"
"Otu1",1,13,112,117,304,385,570,105,191,105,79,233,19,674,80396,17790,34491,10796,119373,20441,258,35995,12594,70950,109832,90320,3102,9,0,4107,154,8117,50,15518,6401,867,14,29,105,198,315,158,79,86,1392,93,20,73,244,790,20,109,41,5,16,13,31,16,13,24,49,55,16,17,50,21,7,41,29,13,35,36,10,"k__Fungi; p__Basidiomycota; c__Geminibasidiomycetes; o__Geminibasidiales; f__Geminibasidiaceae; g__Basidioascus; s__Basidioascus_undulatus","Otu1","k__Fungi; p__Basidiomycota; c__Geminibasidiomycetes; o__Geminibasidiales; f__Geminibasidiaceae; g__Basidioascus; s__Basidioascus_undulatus","k__Fungi","p__Basidiomycota","c__Geminibasidiomycetes","o__Geminibasidiales","f__Geminibasidiaceae","g__Basidioascus","s__Basidioascus_undulatus"
"Otu23",1,0,1,1,1,2,1,3,6,6,1,0,0,3,125,21,71,2,241,113,6,49,185,7,60,5,1,143,18,4,2,1,9,6,2,377,2,3,0,2,2,0,0,5,3,2,0,3,3,2,1919,6,329,1095,1992,2378,4765,5867,4384,938,3640,3972,1762,897,7368,8753,2855,2261,937,111,911,311,181,"k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_bainieri","Otu23","k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_bainieri","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__Mortierella_bainieri"
"Otu3259",1,0,0,141,126,0,2,65,35,266,158,26,1,40,0,0,0,0,2,0,0,1,1,0,0,1,8,7,0,0,0,0,0,0,0,14,0,0,2,28,10,2,0,1,9,2,1,51,0,97,11,0,23,0,2,3,0,0,5,0,7,13,1,0,39,7,28,5,117,21,27,24,0,"k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_camargensis","Otu3259","k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_camargensis","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__Mortierella_camargensis"
"Otu264",0,22,13,30,31,4,4,984,63,8,0,0,0,147,38,0,0,0,0,0,0,0,95,7,0,0,0,0,0,0,180,0,0,0,17,0,0,8,8,43,11,10,5,86,132,87,14,15,18,21,0,0,0,0,219,0,0,0,0,0,0,0,7,0,18,1,0,0,0,25,0,0,0,"k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__Alternaria; s__Alternaria_terricola","Otu264","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__Alternaria; s__Alternaria_terricola","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria","s__Alternaria_terricola"
"Otu5",0,1,7,5,94,4,182,34,6,10,5,26,6,11,3351,844,16899,19,960,43029,6,1,108,25,187,12,33430,2735,32,46140,6,43,10,8,12,16983,15,1,3,27,73,2,6,3,6,7,11,26,0,218,3,2,4,2,2,3,2,3,1,1,7,4,0,1,6,7,0,4,20,0,0,3,2,"k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae; g__Scutellinia; s__Scutellinia_vitreola","Otu5","k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae; g__Scutellinia; s__Scutellinia_vitreola","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Scutellinia","s__Scutellinia_vitreola"
"Otu190",0,33,5,0,0,0,79,0,0,0,0,0,1,30,87,0,0,0,15,0,0,0,350,0,0,0,0,0,0,0,1113,0,0,0,72,0,0,0,0,0,0,0,76,0,0,0,0,0,24,0,1,0,0,0,1423,0,1,0,0,0,1,0,54,1,45,0,0,0,0,139,0,1,0,"k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__Alternaria; s__Alternaria_betae-kenyensis","Otu190","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__Alternaria; s__Alternaria_betae-kenyensis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria","s__Alternaria_betae-kenyensis"
"Otu41",0,471,2,0,2,0,841,4,5,17,3,1,0,2,350,3,2,14,4,0,1,0,3594,6,1,380,3,1,0,3,6178,2,4,39,315,2,0,37,0,1,3,0,892,1,2,211,1,0,1,0,0,1,0,23,5750,2,1,1,0,0,0,0,299,0,52,0,0,0,2,8365,0,2,249,"k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified","Otu41","k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified","k__Fungi","p__unidentified","c__unidentified","o__unidentified","f__unidentified","g__unidentified","s__unidentified"
"Otu752",0,37,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Filobasidiales; f__Filobasidiaceae; g__Filobasidium; s__Filobasidium_sp","Otu752","k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Filobasidiales; f__Filobasidiaceae; g__Filobasidium; s__Filobasidium_sp","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium","s__Filobasidium_sp"
"Otu2205",0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporales_fam_Incertae_sedis; g__Libertasomyces; s__Libertasomyces_myopori","Otu2205","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporales_fam_Incertae_sedis; g__Libertasomyces; s__Libertasomyces_myopori","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","g__Libertasomyces","s__Libertasomyces_myopori"
"Otu2",0,13,14,1,18,3,38,12,20,7,57,5,7,18,5634,3129,3188,51547,305,895,25187,152,62,72750,3616,19,12476,5,30,1196,24759,8745,57094,17825,8990,11287,188,8,2,9,2,5,8,9,17,10,8,12,12,6,4,2,8,1,5,5,3,5,4,3,9,9,8,1,7,1,57,10,2,5,6,8,3,"k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae; g__unidentified; s__unidentified","Otu2","k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae; g__unidentified; s__unidentified","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__unidentified","s__unidentified"
"Otu6",0,2,16,16,138,0,53,64,35,5,92,79,2,20,11436,7151,22368,15766,15316,11931,40099,9304,10826,15941,25925,33,6150,563,24,8551,11733,6719,18077,1373,902,31621,2902,164,2,14,66,4,4,12,27,8,7,99,5,9,2,4,8,2,26,0,3,8,33,1,16,6,25,2,6,248,2,4,2,3,85,3,3,"k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium; s__Penicillium_decumbens","Otu6","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium; s__Penicillium_decumbens","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","s__Penicillium_decumbens"
"Otu1132",0,44,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,"k__Fungi; p__Ascomycota; c__Arthoniomycetes; o__Lichenostigmatales; f__Phaeococcomycetaceae; g__Phaeococcomyces; s__unidentified","Otu1132","k__Fungi; p__Ascomycota; c__Arthoniomycetes; o__Lichenostigmatales; f__Phaeococcomycetaceae; g__Phaeococcomyces; s__unidentified","k__Fungi","p__Ascomycota","c__Arthoniomycetes","o__Lichenostigmatales","f__Phaeococcomycetaceae","g__Phaeococcomyces","s__unidentified"
"Otu895",0,24,0,1,0,0,5,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,"k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Cladosporiaceae; g__Cladosporium; s__Cladosporium_grevilleae","Otu895","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Cladosporiaceae; g__Cladosporium; s__Cladosporium_grevilleae","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium","s__Cladosporium_grevilleae"
"Otu154",0,24,15,14,70,4,35,830,430,134,0,0,0,147,0,0,0,0,2,0,0,8,11,0,0,1,0,0,0,0,141,0,0,1,22,0,0,0,18,0,31,130,20,222,290,0,29,467,0,198,0,0,0,0,460,0,0,0,1,0,0,0,24,0,1,0,0,0,0,4,0,1,0,"k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Filobasidiales; f__Filobasidiaceae; g__Naganishia; s__Naganishia_cerealis","Otu154","k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Filobasidiales; f__Filobasidiaceae; g__Naganishia; s__Naganishia_cerealis","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Naganishia","s__Naganishia_cerealis"
"Otu719",0,22,0,0,0,0,13,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,62,0,0,12,0,0,0,0,47,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,11,0,0,0,0,0,0,90,0,0,15,"k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__Alternaria; s__Alternaria_hungarica","Otu719","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__Alternaria; s__Alternaria_hungarica","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria","s__Alternaria_hungarica"
"Otu298",0,4,0,0,8,0,14,0,0,0,0,0,0,0,83,6,0,0,58,1,0,0,0,1657,0,0,0,0,0,164,0,0,0,637,0,0,0,0,0,0,15,0,12,0,0,0,40,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae; g__Anthracobia; s__Anthracobia_melaloma","Otu298","k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae; g__Anthracobia; s__Anthracobia_melaloma","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Anthracobia","s__Anthracobia_melaloma"
"Otu1553",0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__Neocamarosporium; s__unidentified","Otu1553","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__Neocamarosporium; s__unidentified","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Neocamarosporium","s__unidentified"
"Otu3853",0,2,0,0,5,10,8,3,5,10,3,6,1,8,825,305,470,124,1900,317,1,162,156,741,637,330,5,0,0,13,1,39,1,113,21,5,0,1,4,5,4,1,2,4,30,6,3,3,2,15,2,6,2,0,2,0,1,2,0,1,3,2,0,1,2,2,0,2,0,0,2,1,1,"k__Fungi; p__Basidiomycota; c__Geminibasidiomycetes; o__Geminibasidiales; f__Geminibasidiaceae; g__Basidioascus; s__Basidioascus_magus","Otu3853","k__Fungi; p__Basidiomycota; c__Geminibasidiomycetes; o__Geminibasidiales; f__Geminibasidiaceae; g__Basidioascus; s__Basidioascus_magus","k__Fungi","p__Basidiomycota","c__Geminibasidiomycetes","o__Geminibasidiales","f__Geminibasidiaceae","g__Basidioascus","s__Basidioascus_magus"
"Otu4",0,2,3,64,7,19,9,6,4,11,4,4,1,12,31283,34573,193,827,414,649,633,1946,31292,1488,541,24392,157,1,0,6,3,227,10,1738,41934,21,749,5,1,587,5,19,31,62,5,531,2,3,17,2,3,3,4,1,4,0,2,2,0,0,3,5,4,5,6,1,1,4,4,1,3,0,2,"k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae; g__unidentified; s__unidentified","Otu4","k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae; g__unidentified; s__unidentified","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__unidentified","s__unidentified"
"Otu1579",0,2,47,43,510,5,655,17,579,36,94,51,4,7,1,1,0,1,0,1,2,0,1,0,0,0,2,7,0,2,0,1,3,2,1,2,0,0,40,14,479,18,147,4,84,407,25,263,1,90,2,11,3,2,2,1,15,9,7,2,14,151,164,35,270,399,123,98,19,9,351,426,14,"k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Cladophialophora; s__unidentified","Otu1579","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Cladophialophora; s__unidentified","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Cladophialophora","s__unidentified"
"Otu159",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,3979,0,"k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Thelephorales; f__Thelephoraceae; g__Tomentella; s__Tomentella_sublilacina","Otu159","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Thelephorales; f__Thelephoraceae; g__Tomentella; s__Tomentella_sublilacina","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Tomentella","s__Tomentella_sublilacina"
